id	title	description	link	image_link	additional_image_link	price	availability	condition
prod_f6f710685b20	חולצת באיירן מינכן שוער 25/26	חולצת באיירן מינכן שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-באיירן-מינכן-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%91%D7%90%D7%99%D7%99%D7%A8%D7%9F%20%D7%9E%D7%99%D7%A0%D7%9B%D7%9F/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%91%D7%90%D7%99%D7%99%D7%A8%D7%9F%20%D7%9E%D7%99%D7%A0%D7%9B%D7%9F/goalkeeper/image002.jpg,https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%91%D7%90%D7%99%D7%99%D7%A8%D7%9F%20%D7%9E%D7%99%D7%A0%D7%9B%D7%9F/goalkeeper/image003.jpg	139.90 ILS	in_stock	new
prod_07ad41949c08	חולצת יפן שוער 25/26	חולצת יפן שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-יפן-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%99%D7%A4%D7%9F/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%99%D7%A4%D7%9F/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_918c01e039e3	חולצת ארגנטינה שוער 25/26	חולצת ארגנטינה שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-ארגנטינה-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%99%D7%A0%D7%94/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%90%D7%A8%D7%92%D7%A0%D7%98%D7%99%D7%A0%D7%94/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_1d6fc6cb3f2f	חולצת שוויץ שוער 25/26	חולצת שוויץ שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-שוויץ-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A9%D7%95%D7%95%D7%99%D7%A5/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A9%D7%95%D7%95%D7%99%D7%A5/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_9cd1a872ae51	חולצת ליברפול שוער 25/26	חולצת ליברפול שוער שחור 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-ליברפול-שוער-שחור-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9C%D7%99%D7%91%D7%A8%D7%A4%D7%95%D7%9C/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9C%D7%99%D7%91%D7%A8%D7%A4%D7%95%D7%9C/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_d935c95b53c0	חולצת ליברפול שוער ירוק 25/26	חולצת ליברפול שוער ירוק 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-ליברפול-שוער-ירוק-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9C%D7%99%D7%91%D7%A8%D7%A4%D7%95%D7%9C/goalkeeper/image003.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9C%D7%99%D7%91%D7%A8%D7%A4%D7%95%D7%9C/goalkeeper/image004.jpg	139.90 ILS	in_stock	new
prod_13410cdc66d9	חולצת מנצ'סטר יונייטד שוער 25/26	חולצת מנצ'סטר יונייטד שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-מנצ-סטר-יונייטד-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9E%D7%A0%D7%A6%27%D7%A1%D7%98%D7%A8%20%D7%99%D7%95%D7%A0%D7%99%D7%99%D7%98%D7%93/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%9E%D7%A0%D7%A6%27%D7%A1%D7%98%D7%A8%20%D7%99%D7%95%D7%A0%D7%99%D7%99%D7%98%D7%93/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_0a1a7c1c946b	חולצת ריאל מדריד שוער 25/26	חולצת ריאל מדריד שוער שחור 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-ריאל-מדריד-שוער-שחור-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A8%D7%99%D7%90%D7%9C%20%D7%9E%D7%93%D7%A8%D7%99%D7%93/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A8%D7%99%D7%90%D7%9C%20%D7%9E%D7%93%D7%A8%D7%99%D7%93/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
prod_0df0ff71bd05	חולצת ריאל מדריד שוער כחול 25/26	חולצת ריאל מדריד שוער כחול 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-ריאל-מדריד-שוער-כחול-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A8%D7%99%D7%90%D7%9C%20%D7%9E%D7%93%D7%A8%D7%99%D7%93/goalkeeper/image003.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%A8%D7%99%D7%90%D7%9C%20%D7%9E%D7%93%D7%A8%D7%99%D7%93/goalkeeper/image004.jpg	139.90 ILS	in_stock	new
prod_82a0bac94dbf	חולצת בורוסיה דורטמונד שוער 25/26	חולצת בורוסיה דורטמונד שוער 25/26	https://www.xn--6dbbfabi4agf8g0au.com/product-page/חולצת-בורוסיה-דורטמונד-שוער-2025-2026	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%91%D7%95%D7%A8%D7%95%D7%A1%D7%99%D7%94%20%D7%93%D7%95%D7%A8%D7%98%D7%9E%D7%95%D7%A0%D7%93/goalkeeper/image001.jpg	https://raw.github.com/hultzotKaduregel/2025-2026-products/refs/heads/main/images/%D7%97%D7%95%D7%9C%D7%A6%D7%95%D7%AA%20%D7%92%D7%91%D7%A8%D7%99%D7%9D/%D7%91%D7%95%D7%A8%D7%95%D7%A1%D7%99%D7%94%20%D7%93%D7%95%D7%A8%D7%98%D7%9E%D7%95%D7%A0%D7%93/goalkeeper/image002.jpg	139.90 ILS	in_stock	new
